,ID,firstname,surname,gender,distance_from_office_miles,age,nationality,emp_type,travel_cost
88,1199,Steven,Jones,M,41,35,UK,FT,74.0
89,1200,Brittany,Watson,F,29,31,Canada,PT,57.0
90,1201,Carl,Ramirez,M,9,32,UK,Seasonal,25.0
91,1202,Nathaniel,Sexton,M,45,34,UAE,FT,74.0
92,1203,Cassidy,Chavez,F,9,36,UK,FT,25.0
93,1204,Crystal,Gibbs,F,33,34,USA,PT,57.0
94,1205,Donald,Dunn,M,37,44,UAE,FT,57.0
95,1206,Tiffany,Morales,F,17,33,Canada,FT,37.0
96,1207,Sydney,Lynch,F,37,33,USA,Temp,57.0
97,1208,Tyler,Benjamin,M,25,35,Canada,Intern,57.0
98,1209,Danny,Kennedy,M,33,36,Canada,Seasonal,57.0
99,1210,Jason,Medina,M,49,31,UAE,Hourly,74.0
100,1211,Robert,Clayton,M,25,33,USA,FT,57.0
101,1212,Kelsey,Jenkins,F,45,36,UAE,PT,74.0
102,1213,Emily,Freeman,F,41,33,UAE,PT,74.0
103,1214,Madeline,Nelson,F,21,32,Pakistan,Hourly,57.0
104,1215,Whitney,Atkins,F,5,34,USA,Hourly,25.0
105,1216,Richard,Jarvis,M,29,32,USA,FT,57.0
106,1217,Christina,Jones,F,49,35,UK,Variable Hourly,74.0
107,1218,Samuel,French,M,21,36,USA,PT,57.0
108,1219,Michael,Williamson,M,5,33,UK,Intern,25.0
109,1220,Brianna,Byrd,F,33,31,USA,PT,57.0
110,1221,Patricia,Morgan,F,45,34,USA,Variable Hourly,74.0
111,1222,Matthew,Wells,M,1,36,USA,FT,18.0
112,1223,Brian,Crawford,M,1,30,India,PT,18.0
113,1224,Mark,Preston,M,9,34,India,Seasonal,25.0
114,1225,Jacob,Rogers,M,9,31,UAE,Seasonal,25.0
115,1226,Mark,Coleman,M,29,38,USA,PT,57.0
116,1227,Cristina,Torres,F,21,37,India,PT,57.0
117,1228,Casey,Marsh,F,25,32,Canada,Seasonal,57.0
118,1229,Dan,Simmons,M,29,30,USA,PT,57.0
119,1230,Adrian,Huff,M,37,32,USA,Variable Hourly,57.0
120,1231,Melissa,Evans,F,25,31,UK,FT,57.0
121,1232,Luis,Roberts,M,1,34,USA,PT,18.0
122,1233,Elizabeth,Harrison,F,29,31,India,Seasonal,57.0
123,1234,Christopher,Gilmore,M,9,39,UAE,FT,25.0
124,1235,James,Walters,M,21,35,USA,FT,57.0
125,1236,Zachary,Paul,M,49,31,Canada,PT,74.0
126,1237,Stephanie,Banks,F,33,33,USA,FT,57.0
127,1238,Lauren,Wong,F,17,34,USA,FT,37.0
128,1239,Gregory,Wells,M,17,32,USA,FT,37.0
129,1240,Richard,Smith,M,9,36,USA,PT,25.0
130,1241,Brian,Johnson,M,37,31,USA,Temp,57.0
131,1242,Brooke,Randall,F,1,32,USA,PT,18.0
132,1243,Michael,Edwards,M,9,36,UK,Intern,25.0
133,1244,Jon,Patterson,M,5,30,UAE,Hourly,25.0
134,1245,Christina,Nelson,F,25,33,Canada,Variable Hourly,57.0
135,1246,Christina,Cruz,F,29,31,UK,Seasonal,57.0
136,1247,Shirley,Rogers,F,25,30,UAE,FT,57.0
137,1248,Ruth,Gonzalez,F,13,32,USA,Intern,37.0
138,1249,Geoffrey,Jones,M,41,28,USA,FT,74.0
139,1250,Shawn,Goodwin,M,29,32,Pakistan,FT,57.0
140,1251,Scott,Gordon,M,33,32,USA,PT,57.0
141,1252,Amanda,Campos,F,21,31,USA,PT,57.0
142,1253,Katherine,White,F,21,37,UAE,Intern,57.0
143,1254,Ryan,Bailey,M,41,32,USA,Seasonal,74.0
144,1255,Laura,Rodriguez,F,17,34,USA,PT,37.0
145,1256,Jenny,Faulkner,F,41,39,India,PT,74.0
146,1257,Derrick,Warren,M,49,33,USA,FT,74.0
147,1258,Jeffrey,Stein,M,41,35,India,Hourly,74.0
148,1259,Robert,Smith,M,37,37,UK,Temp,57.0
149,1260,Cindy,Lee,F,29,32,Australia,FT,57.0
150,1261,Dustin,Jones,M,17,30,UAE,PT,37.0
151,1262,David,Johnson,M,41,33,USA,FT,74.0
152,1263,Jennifer,Chan,F,1,33,USA,FT,18.0
153,1264,Paul,Good,M,49,36,USA,Seasonal,74.0
154,1265,Katherine,Rodriguez,F,13,32,USA,Intern,37.0
155,1266,Andrea,Adkins,F,45,36,UK,Hourly,74.0
156,1267,Tina,Frazier,F,29,35,UAE,FT,57.0
157,1268,Reginald,Perkins,M,45,34,India,FT,74.0
158,1269,Casey,Smith,M,17,40,India,FT,37.0
159,1270,William,Jones,M,13,34,USA,FT,37.0
160,1271,Amanda,Lewis,F,21,35,UK,PT,57.0
161,1272,Julie,Morrison,F,17,32,Pakistan,PT,37.0
162,1273,Raymond,Kelly,M,49,36,USA,FT,74.0
163,1274,Benjamin,Aguirre,M,1,34,USA,Variable Hourly,18.0
164,1275,Emily,Moore,F,49,30,USA,PT,74.0
165,1276,Jonathan,Evans,M,25,39,UAE,FT,57.0
166,1277,Madeline,Diaz,F,13,33,USA,FT,37.0
167,1278,James,Gray,M,9,34,USA,PT,25.0
168,1279,Damon,Clark,M,13,30,USA,Hourly,37.0
169,1280,Bethany,Brewer,F,49,40,USA,FT,74.0
170,1281,Linda,Byrd,F,13,34,UAE,FT,37.0
171,1282,Matthew,Alexander,M,25,32,Australia,PT,57.0
172,1283,John,Taylor,M,1,40,Canada,Hourly,18.0
173,1284,Diana,Malone,F,37,36,Canada,Hourly,57.0
174,1285,Jenny,Owen,F,33,35,India,PT,57.0
175,1286,Cassandra,Smith,F,5,32,UAE,Hourly,25.0
176,1287,Vanessa,Williams,F,45,30,Australia,PT,74.0
177,1288,Nathaniel,Turner,M,1,36,UK,Intern,18.0
178,1289,Ashley,Martinez,F,9,33,India,PT,25.0
179,1290,Samuel,Morrison,M,29,36,USA,PT,57.0
180,1291,Emily,Garrison,F,13,31,USA,Variable Hourly,37.0
181,1292,Misty,Allen,F,9,39,USA,FT,25.0
182,1293,Timothy,Price,M,13,30,USA,FT,37.0
183,1294,Benjamin,Potter,M,45,31,Canada,FT,74.0
184,1295,Sean,Wheeler,M,45,32,USA,PT,74.0
185,1296,Phillip,Grant,M,17,35,UAE,PT,37.0
186,1297,Margaret,Andrews,F,37,30,India,FT,57.0
187,1298,Ernest,Francis,M,25,34,USA,Hourly,57.0
188,1299,Michelle,Sanchez,F,45,32,Canada,Seasonal,74.0
189,1300,Todd,Dorsey,M,9,30,Australia,Seasonal,25.0
190,1301,Danny,Michael,M,25,34,USA,Seasonal,57.0
191,1302,Beth,Fuller,F,37,33,USA,Variable Hourly,57.0
192,1303,Joseph,Nguyen,M,33,33,USA,FT,57.0
193,1304,Joshua,Paul,M,29,30,USA,Hourly,57.0
194,1305,Anna,Marquez,F,45,32,USA,PT,74.0
195,1306,Lindsey,Campbell,F,29,30,USA,Variable Hourly,57.0
196,1307,Wanda,Bennett,F,25,30,USA,PT,57.0
197,1308,Kristin,Weaver,F,49,35,UK,PT,74.0
198,1309,Wendy,Sanchez,F,13,34,UAE,Hourly,37.0
199,1310,Beth,Wolf,F,21,32,USA,PT,57.0
